Time,"Theta - radians (5 m, 20 degrees)","Theta - degrees (5 m, 20 degrees)","Theta - radians (5 m, 15 degrees)","Theta - degrees (5 m, 15 degrees)","Theta - radians (2.5 m, 20 degrees)","Theta - degrees (2.5 m, 20 degrees)","Theta - radians (2.5 m, 15 degrees)","Theta - degrees (2.5 m, 15 degrees)"
0.3125,18.11627367,0.316188624,13.58720525,0.237141468,16.29244847,0.284356869,12.21933635,0.213267652
0.31875,18.04143776,0.314882491,13.53107832,0.236161868,16.14766415,0.281829906,12.11074811,0.211372429
0.346153846,17.69708389,0.308872382,13.27281292,0.231654286,15.48395572,0.270246009,11.61296679,0.202684506
0.35,17.64665717,0.30799227,13.23499288,0.230994202,15.38711043,0.268555739,11.54033282,0.201416804
0.325,17.96522056,0.31355225,13.47391542,0.235164187,16.00040725,0.279259788,12.00030543,0.209444841
0.35,17.64665717,0.30799227,13.23499288,0.230994202,15.38711043,0.268555739,11.54033282,0.201416804
0.35,17.64665717,0.30799227,13.23499288,0.230994202,15.38711043,0.268555739,11.54033282,0.201416804
0.35,17.64665717,0.30799227,13.23499288,0.230994202,15.38711043,0.268555739,11.54033282,0.201416804
0.3625,17.47924444,0.305070366,13.10943333,0.228802775,15.06623045,0.262955327,11.29967284,0.197216495
0.36875,17.39352748,0.303574323,13.04514561,0.227680742,14.90231761,0.260094509,11.17673821,0.195070881
0.396153846,17.00206096,0.296741943,12.75154572,0.222556458,14.15702743,0.247086741,10.61777057,0.185315056
0.4,16.94510222,0.295747826,12.70882667,0.221810869,14.04903921,0.245201991,10.53677941,0.183901493
0.375,17.30647883,0.302055038,12.97985912,0.226541278,14.73612288,0.257193863,11.05209216,0.192895397
0.4,16.94510222,0.295747826,12.70882667,0.221810869,14.04903921,0.245201991,10.53677941,0.183901493
0.4,16.94510222,0.295747826,12.70882667,0.221810869,14.04903921,0.245201991,10.53677941,0.183901493
0.4,16.94510222,0.295747826,12.70882667,0.221810869,14.04903921,0.245201991,10.53677941,0.183901493
0.4125,16.75660189,0.292457874,12.56745142,0.219343406,13.69248392,0.238978927,10.26936294,0.179234195
0.41875,16.66042371,0.290779249,12.49531778,0.218084436,13.5110476,0.235812266,10.1332857,0.176859199
0.446153846,16.22376194,0.283158063,12.16782145,0.212368547,12.69147353,0.221508,9.518605146,0.166131
0.45,16.16055017,0.282054809,12.12041262,0.211541107,12.57339981,0.219447225,9.430049858,0.164585419
0.425,16.56296998,0.28907836,12.42222748,0.21680877,13.32754242,0.232609496,9.995656813,0.174457122
0.45,16.16055017,0.282054809,12.12041262,0.211541107,12.57339981,0.219447225,9.430049858,0.164585419
0.45,16.16055017,0.282054809,12.12041262,0.211541107,12.57339981,0.219447225,9.430049858,0.164585419
0.45,16.16055017,0.282054809,12.12041262,0.211541107,12.57339981,0.219447225,9.430049858,0.164585419
0.4625,15.9518855,0.278412924,11.96391413,0.208809693,12.1846606,0.212662446,9.138495449,0.159496834
0.46875,15.84571719,0.276559937,11.8842879,0.207419953,11.98747741,0.20922095,8.990608058,0.156915712
0.496153846,15.36599894,0.268187274,11.52449921,0.201140456,11.10164473,0.193760253,8.326233549,0.14532019
0.5,15.29684375,0.266980289,11.47263281,0.200235216,10.97464169,0.191543632,8.230981267,0.143657724
0.475,15.7383357,0.274685777,11.80375178,0.206014333,11.78845866,0.205747417,8.841343998,0.154310563
0.5,15.29684375,0.266980289,11.47263281,0.200235216,10.97464169,0.191543632,8.230981267,0.143657724
0.5,15.29684375,0.266980289,11.47263281,0.200235216,10.97464169,0.191543632,8.230981267,0.143657724
0.5,15.29684375,0.266980289,11.47263281,0.200235216,10.97464169,0.191543632,8.230981267,0.143657724
0.5125,15.06903679,0.263004307,11.3017776,0.19725323,10.55752509,0.184263574,7.918143816,0.13819768
0.51875,14.95339836,0.260986036,11.21504877,0.195739527,10.34652586,0.180580942,7.759894392,0.135435707
0.546153846,14.43297329,0.251902905,10.82472997,0.188927179,9.403108638,0.164115206,7.052331479,0.123086404
0.55,14.35821339,0.250598098,10.76866004,0.187948574,9.268419885,0.161764443,6.951314914,0.121323333
0.525,14.83661507,0.258947783,11.1274613,0.194210837,10.13394233,0.17687066,7.60045675,0.132652995
0.55,14.35821339,0.250598098,10.76866004,0.187948574,9.268419885,0.161764443,6.951314914,0.121323333
0.55,14.35821339,0.250598098,10.76866004,0.187948574,9.268419885,0.161764443,6.951314914,0.121323333
0.55,14.35821339,0.250598098,10.76866004,0.187948574,9.268419885,0.161764443,6.951314914,0.121323333
0.5625,14.11237995,0.246307495,10.58428496,0.184730622,8.827010299,0.154060393,6.620257724,0.115545295
0.56875,13.98783779,0.244133825,10.49087835,0.183100369,8.604261128,0.150172686,6.453195846,0.112629515
0.596153846,13.42925494,0.234384715,10.07194121,0.175788536,7.612497311,0.132863142,5.709372984,0.099647357
0.6,13.34925652,0.232988479,10.01194239,0.174741359,7.47144172,0.130401258,5.60358129,0.097800943
0.575,13.8622247,0.241941463,10.39666853,0.181456097,8.380194445,0.146261985,6.285145834,0.109696489
0.6,13.34925652,0.232988479,10.01194239,0.174741359,7.47144172,0.130401258,5.60358129,0.097800943
0.6,13.34925652,0.232988479,10.01194239,0.174741359,7.47144172,0.130401258,5.60358129,0.097800943
0.6,13.34925652,0.232988479,10.01194239,0.174741359,7.47144172,0.130401258,5.60358129,0.097800943
0.6125,13.08660067,0.22840427,9.814950506,0.171303202,7.010061432,0.122348653,5.257546074,0.09176149
0.61875,12.9537648,0.226085846,9.715323602,0.169564385,6.77774348,0.11829394,5.08330761,0.088720455
0.646153846,12.35976011,0.215718509,9.269820082,0.161788881,5.747344416,0.100310083,4.310508312,0.075232562
0.65,12.27491499,0.214237682,9.206186242,0.160678261,5.601303203,0.097761183,4.200977402,0.073320887
0.625,12.81993716,0.223750113,9.614952872,0.167812585,6.5443877,0.114221113,4.908290775,0.085665835
0.65,12.27491499,0.214237682,9.206186242,0.160678261,5.601303203,0.097761183,4.200977402,0.073320887
0.65,12.27491499,0.214237682,9.206186242,0.160678261,5.601303203,0.097761183,4.200977402,0.073320887
0.65,12.27491499,0.214237682,9.206186242,0.160678261,5.601303203,0.097761183,4.200977402,0.073320887
0.6625,11.99672324,0.20938232,8.997542427,0.15703674,5.124470048,0.089438875,3.843352536,0.067079156
0.66875,11.85624428,0.2069305,8.892183208,0.155197875,4.884858173,0.085256859,3.66364363,0.063942644
0.696153846,11.22972718,0.195995713,8.422295384,0.146996785,3.825913529,0.066774788,2.869435147,0.050081091
0.7,11.14045094,0.194437549,8.355338201,0.145828162,3.676316729,0.064163831,2.757237547,0.048122873
0.675,11.71485758,0.204462836,8.786143185,0.153347127,4.644498315,0.081061788,3.483373736,0.060796341
0.7,11.14045094,0.194437549,8.355338201,0.145828162,3.676316729,0.064163831,2.757237547,0.048122873
0.7,11.14045094,0.194437549,8.355338201,0.145828162,3.676316729,0.064163831,2.757237547,0.048122873
0.7,11.14045094,0.194437549,8.355338201,0.145828162,3.676316729,0.064163831,2.757237547,0.048122873
0.7125,10.84808585,0.189334816,8.13606439,0.142001112,3.188699857,0.055653311,2.391524893,0.041739984
0.71875,10.70065187,0.186761607,8.025488906,0.140071205,2.944140339,0.051384943,2.208105254,0.038538707
0.746153846,10.04469105,0.175312931,7.533518287,0.131484698,1.867019299,0.032585634,1.400264474,0.024439225
0.75,9.951420958,0.173685061,7.463565718,0.130263796,1.715331764,0.029938187,1.286498823,0.02245364
0.725,10.55239863,0.1841741,7.914298973,0.138130575,2.699130006,0.047108706,2.024347504,0.035331529
0.75,9.951420958,0.173685061,7.463565718,0.130263796,1.715331764,0.029938187,1.286498823,0.02245364
0.75,9.951420958,0.173685061,7.463565718,0.130263796,1.715331764,0.029938187,1.286498823,0.02245364
0.75,9.951420958,0.173685061,7.463565718,0.130263796,1.715331764,0.029938187,1.286498823,0.02245364
0.7625,9.646314552,0.16835995,7.234735914,0.126269962,1.221705919,0.021322791,0.916279439,0.015992093
0.76875,9.492647683,0.165677957,7.119485763,0.124258468,0.974593485,0.017009865,0.730945113,0.012757399
0.796153846,8.810456029,0.153771466,6.607842022,0.1153286,-0.110156782,-0.001922599,-0.082617587,-0.001441949
0.8,8.713648926,0.152081864,6.535236694,0.114061398,-0.262449728,-0.004580612,-0.196837296,-0.003435459
0.775,9.338254038,0.162983279,7.003690529,0.12223746,0.727331817,0.012694335,0.545498863,0.009520751
0.8,8.713648926,0.152081864,6.535236694,0.114061398,-0.262449728,-0.004580612,-0.196837296,-0.003435459
0.8,8.713648926,0.152081864,6.535236694,0.114061398,-0.262449728,-0.004580612,-0.196837296,-0.003435459
0.8,8.713648926,0.152081864,6.535236694,0.114061398,-0.262449728,-0.004580612,-0.196837296,-0.003435459
0.8125,8.397295607,0.146560457,6.297971705,0.109920342,-0.757250962,-0.013216523,-0.567938222,-0.009912392
0.81875,8.238148509,0.143782816,6.178611382,0.107837112,-1.004496589,-0.017531773,-0.753372442,-0.01314883
0.846153846,7.533067399,0.131476829,5.64980055,0.098607622,-2.086254209,-0.036412005,-1.564690656,-0.027309004
0.85,7.433197445,0.129733769,5.574898084,0.097300327,-2.237661313,-0.039054557,-1.678245985,-0.029290918
0.825,8.078370682,0.140994167,6.058778012,0.105745625,-1.251588404,-0.021844339,-0.938691303,-0.016383254
0.85,7.433197445,0.129733769,5.574898084,0.097300327,-2.237661313,-0.039054557,-1.678245985,-0.029290918
0.85,7.433197445,0.129733769,5.574898084,0.097300327,-2.237661313,-0.039054557,-1.678245985,-0.029290918
0.85,7.433197445,0.129733769,5.574898084,0.097300327,-2.237661313,-0.039054557,-1.678245985,-0.029290918
0.8625,7.107146712,0.124043111,5.330360034,0.093032333,-2.728792843,-0.04762642,-2.046594632,-0.035719815
0.86875,6.943298888,0.121183427,5.207474166,0.09088757,-2.973750632,-0.05190174,-2.230312974,-0.038926305
0.896153846,6.21878181,0.108538218,4.664086357,0.081403664,-4.041923035,-0.070544865,-3.031442276,-0.052908649
0.9,6.116338168,0.106750239,4.587253626,0.080062679,-4.19096172,-0.073146081,-3.14322129,-0.054859561
0.875,6.778919471,0.118314464,5.084189603,0.088735848,-3.218253072,-0.056169112,-2.413689804,-0.042126834
0.9,6.116338168,0.106750239,4.587253626,0.080062679,-4.19096172,-0.073146081,-3.14322129,-0.054859561
0.9,6.116338168,0.106750239,4.587253626,0.080062679,-4.19096172,-0.073146081,-3.14322129,-0.054859561
0.9,6.116338168,0.106750239,4.587253626,0.080062679,-4.19096172,-0.073146081,-3.14322129,-0.054859561
0.9125,5.782187016,0.100918201,4.336640262,0.075688651,-4.673614385,-0.081569959,-3.505210789,-0.061177469
