"Time","Observation"
0,1145.91559026165
0,1145.91559026165
0.0125,1145.74012641494
0.01875,1145.52080920079
0.0461538461538462,1143.5242389041
0.05,1143.10924327133
0.025,1145.21378860925
0.05,1143.10924327133
0.05,1143.10924327133
0.05,1143.10924327133
0.0625,1141.53168023966
0.06875,1140.61176991194
0.0961538461538462,1135.54851874929
0.1,1134.70394778653
0.075,1139.60453205276
0.1,1134.70394778653
0.1,1134.70394778653
0.1,1134.70394778653
0.1125,1131.73201247283
0.11875,1130.11601475186
0.146153846153846,1122.01088252488
0.15,1120.74087294026
0.125,1128.41349307555
0.15,1120.74087294026
0.15,1120.74087294026
0.15,1120.74087294026
0.1625,1116.38912188219
0.16875,1114.08495192399
0.196153846153846,1102.97763756623
0.2,1101.28840986605
0.175,1111.69548538087
0.2,1101.28840986605
0.2,1101.28840986605
0.2,1101.28840986605
0.2125,1095.57815793809
0.21875,1092.59710156595
0.246153846153846,1078.54200869749
0.25,1076.44183671819
0.225,1089.53239376193
0.25,1076.44183671819
0.25,1076.44183671819
0.25,1076.44183671819
0.2625,1069.40105273138
0.26875,1065.7577111579
0.296153846153846,1048.82368161651
0.3,1046.32285199936
0.275,1062.03277303026
0.3,1046.32285199936
0.3,1046.32285199936
0.3,1046.32285199936
0.3125,1037.98602171011
0.31875,1033.69824002047
0.346153846153846,1013.96821667426
0.35,1011.07897848146
0.325,1029.33131631427
0.35,1011.07897848146
0.35,1011.07897848146
0.35,1011.07897848146
0.3625,1001.4869356803
0.36875,996.575715427046
0.396153846153846,974.146335920366
0.4,970.882840639135
0.375,991.588195332387
0.4,970.882840639135
0.4,970.882840639135
0.4,970.882840639135
0.4125,960.082567146848
0.41875,954.571963484287
0.446153846153846,929.553086906603
0.45,925.931319135167
0.425,948.988275872065
0.45,925.931319135167
0.45,925.931319135167
0.45,925.931319135167
0.4625,913.975714685846
0.46875,907.89271854793
0.496153846153846,880.406887344044
0.5,876.444586499113
0.475,901.740212317241
0.5,876.444586499113
0.5,876.444586499113
0.5,876.444586499113
0.5125,863.392209637296
0.51875,856.766615536026
0.546153846153846,826.948455293253
0.55,822.665028722358
0.525,850.075425659271
0.55,822.665028722358
0.55,822.665028722358
0.55,822.665028722358
0.5625,808.579809983302
0.56875,801.44407007523
0.596153846153846,769.439630127333
0.6,764.856058051649
0.575,794.246969997035
0.6,764.856058051649
0.6,764.856058051649
0.6,764.856058051649
0.6125,749.806986829602
0.61875,742.196051965184
0.646153846153846,708.162090042816
0.65,703.300822796048
0.625,734.528293078088
0.65,703.300822796048
0.65,703.300822796048
0.65,703.300822796048
0.6625,687.361609434233
0.66875,679.312757968579
0.696153846153846,643.415972399996
0.7,638.300820466655
0.675,671.211896951725
0.7,638.300820466655
0.7,638.300820466655
0.7,638.300820466655
0.7125,621.549535224045
0.71875,613.102190427555
0.746153846153846,575.518403650288
0.75,570.174421041954
0.725,604.607905294102
0.75,570.174421041954
0.75,570.174421041954
0.75,570.174421041954
0.7625,552.693111705181
0.76875,543.888648668391
0.796153846153846,504.801946051036
0.8,499.255307591816
0.775,535.042544422618
0.8,499.255307591816
0.8,499.255307591816
0.8,499.255307591816
0.8125,481.129597605156
0.81875,472.01114058356
0.846153846153846,431.612968775738
0.85,425.890841897996
0.825,462.856545439582
0.85,425.890841897996
0.85,425.890841897996
0.85,425.890841897996
0.8625,407.209510979782
0.86875,397.821722171252
0.896153846153846,356.309951398013
0.9,350.440363076299
0.875,388.403475331448
0.9,350.440363076299
0.9,350.440363076299
0.9,350.440363076299
0.9125,331.294912375905
0.91875,321.68377316527
0.946153846153846,279.261728058834
0.95,273.273427533772
0.925,312.048005197889
0.95,273.273427533772
0.95,273.273427533772
0.95,273.273427533772
0.9625,253.757631459031
0.96875,243.970217201276
0.996153846153846,200.845680917085
1,194.767998881615
0.975,234.164124092942
1,194.767998881615
1,194.767998881615
1,194.767998881615
1.0125,174.977445791814
1.01875,165.061695237016
1.04615384615385,121.445891731944
1.05,115.308596669596
1.025,155.133307226806
