"Time","Observation"
0,20
0,20
0.0125,19.9938753126238
0.01875,19.9862203326177
0.0461538461538462,19.9165551314498
0.05,19.9020800071937
0.025,19.9755050016748
0.05,19.9020800071937
0.05,19.9020800071937
0.05,19.9020800071937
0.0625,19.8470702941752
0.06875,19.8150046495566
0.0961538461538462,19.6386672482345
0.1,19.6092788612739
0.075,19.7799048710682
0.1,19.6092788612739
0.1,19.6092788612739
0.1,19.6092788612739
0.1125,19.5059227776833
0.11875,19.4497604552213
0.146153846153846,19.1684775494518
0.15,19.1244636708507
0.125,19.3906199261931
0.15,19.1244636708507
0.15,19.1244636708507
0.15,19.1244636708507
0.1625,18.9737732793844
0.16875,18.8940642205001
0.196153846153846,18.5105901322942
0.2,18.4523817459202
0.175,18.8114620449497
0.2,18.4523817459202
0.2,18.4523817459202
0.2,18.4523817459202
0.2125,18.2558326067828
0.21875,18.1533573225235
0.246153846153846,17.671447029877
0.25,17.5996141122077
0.225,18.0481023408945
0.25,17.5996141122077
0.25,17.5996141122077
0.25,17.5996141122077
0.2625,17.3591308344283
0.26875,17.2348927627037
0.296153846153846,16.6592651308556
0.3,16.574511069769
0.275,17.1080156317006
0.3,16.574511069769
0.3,16.574511069769
0.3,16.574511069769
0.3125,16.2924484654306
0.31875,16.1476641453497
0.346153846153846,15.483955719657
0.35,15.3871104268583
0.325,16.000407245748
0.35,15.3871104268583
0.35,15.3871104268583
0.35,15.3871104268583
0.3625,15.0662304527798
0.36875,14.9023176123007
0.396153846153846,14.1570274251901
0.4,14.0490392097169
0.375,14.7361228835552
0.4,14.0490392097169
0.4,14.0490392097169
0.4,14.0490392097169
0.4125,13.6924839223735
0.41875,13.5110475959122
0.446153846153846,12.69147352836
0.45,12.5733998107403
0.425,13.3275424166874
0.45,12.5733998107403
0.45,12.5733998107403
0.45,12.5733998107403
0.4625,12.1846605992493
0.46875,11.987477411184
0.496153846153846,11.10164473187
0.5,10.9746416898619
0.475,11.7884586640627
0.5,10.9746416898619
0.5,10.9746416898619
0.5,10.9746416898619
0.5125,10.5575250883025
0.51875,10.3465258562688
0.546153846153846,9.40310863815165
0.55,9.26841988545115
0.525,10.1339423326798
0.55,9.26841988545115
0.55,9.26841988545115
0.55,9.26841988545115
0.5625,8.82701029928574
0.56875,8.60426112761209
0.596153846153846,7.61249731141285
0.6,7.47144172018949
0.575,8.38019444526538
0.6,7.47144172018949
0.6,7.47144172018949
0.6,7.47144172018949
0.6125,7.01006143176828
0.61875,6.7777434801834
0.646153846153846,5.7473444164769
0.65,5.60130320297845
0.625,6.54438769987134
0.65,5.60130320297845
0.65,5.60130320297845
0.65,5.60130320297845
0.6625,5.12447004775377
0.66875,4.88485817347245
0.696153846153846,3.82591352914926
0.7,3.67631672883324
0.675,4.64449831482798
0.7,3.67631672883324
0.7,3.67631672883324
0.7,3.67631672883324
0.7125,3.18869985671803
0.71875,2.94414033904087
0.746153846153846,1.86701929929643
0.75,1.71533176392392
0.725,2.69913000562694
0.75,1.71533176392392
0.75,1.71533176392392
0.75,1.71533176392392
0.7625,1.22170591897916
0.76875,0.974593484527329
0.796153846153846,-0.110156782192036
0.8,-0.262449728383781
0.775,0.727331817352463
0.8,-0.262449728383781
0.8,-0.262449728383781
0.8,-0.262449728383781
0.8125,-0.757250962239499
0.81875,-1.00449658868562
0.846153846153846,-2.08625420854852
0.85,-2.23766131313995
0.825,-1.25158840355431
0.85,-2.23766131313995
0.85,-2.23766131313995
0.85,-2.23766131313995
0.8625,-2.72879284258065
0.86875,-2.97375063202475
0.896153846153846,-4.04192303519568
0.9,-4.19096171992755
0.875,-3.21825307171383
0.9,-4.19096171992755
0.9,-4.19096171992755
0.9,-4.19096171992755
0.9125,-4.67361438537026
0.91875,-4.91388571131433
0.946153846153846,-5.95801335438984
0.95,-6.10322423256847
0.925,-5.15340460811023
0.95,-6.10322423256847
0.95,-6.10322423256847
0.95,-6.10322423256847
0.9625,-6.57267189946036
0.96875,-6.8059040252536
0.996153846153846,-7.81576281110382
1,-7.95572397791454
0.975,-7.03809401029123
1,-7.95572397791454
1,-7.95572397791454
1,-7.95572397791454
1.0125,-8.40736981503913
1.01875,-8.63127893187355
1.04615384615385,-9.59698032399388
1.05,-9.73032127979197
1.025,-8.85386640098643
1.05,-9.73032127979197
1.05,-9.73032127979197
1.05,-9.73032127979197
1.0625,-10.159742771437
1.06875,-10.3721363614017
1.09615384615385,-11.2842242124552
1.1,-11.4096392826974
1.075,-10.5829417382524
1.1,-11.4096392826974
1.1,-11.4096392826974
1.1,-11.4096392826974
1.1125,-11.8126315339256
1.11875,-12.0114298391403
1.14615384615385,-12.8609729855456
1.15,-12.9772341059543
1.125,-12.2083889176304
1.15,-12.9772341059543
1.15,-12.9772341059543
1.15,-12.9772341059543
1.1625,-13.3498510169317
1.16875,-13.5331074045348
1.19615384615385,-14.3117871204134
1.2,-14.4177558621812
1.175,-13.7142915615093
1.2,-14.4177558621812
1.2,-14.4177558621812
1.2,-14.4177558621812
1.2125,-14.7563487683834
1.21875,-14.9222687919593
1.24615384615385,-15.6224602460935
1.25,-15.7170989633773
1.225,-15.0859038722835
1.25,-15.7170989633773
1.25,-15.7170989633773
1.25,-15.7170989633773
1.2625,-16.0183523633103
1.26875,-16.1653113341076
1.29615384615385,-16.7801582522822
1.3,-16.8625402428303
1.275,-16.3097950231926
1.3,-16.8625402428303
1.3,-16.8625402428303
1.3,-16.8625402428303
1.3125,-17.1235042634188
1.31875,-17.2500631593011
1.34615384615385,-17.7735449609356
1.35,-17.842863540356
